title,genre,description
Avatar,Action Sci-Fi,"A marine on an alien planet becomes part of a conflict between humans and natives."
Titanic,Romance Drama,"A love story unfolds on the ill-fated Titanic ship."
The Avengers,Action Superhero,"Earth's mightiest heroes unite to stop a global threat."
Iron Man,Action Superhero,"A billionaire engineer builds a powered suit and becomes a hero."
Captain America: The First Avenger,Action Superhero,"A brave man becomes a super soldier during World War II."
Thor,Action Fantasy,"The god of thunder is banished to Earth and learns humility."
Inception,Sci-Fi Thriller,"A skilled thief enters dreams to steal secrets and plant ideas."
Interstellar,Sci-Fi Drama,"A team travels through space to save humanity."
The Dark Knight,Action Crime,"Batman faces the Joker in Gotham City."
Doctor Strange,Action Fantasy,"A surgeon learns mystic arts after a life-changing accident."
Guardians of the Galaxy,Action Sci-Fi,"A group of space misfits protect the galaxy from a powerful enemy."
John Carter,Action Sci-Fi,"A war veteran is transported to Mars and becomes part of a conflict there."
The Notebook,Romance Drama,"A heartfelt love story that spans years and memories."
La La Land,Romance Musical,"A musician and an actress fall in love while chasing their dreams."
Frozen,Animation Family,"Two sisters discover the power of love and courage in a frozen kingdom."
Moana,Animation Adventure,"A young girl sails across the ocean to save her island."
Coco,Animation Family,"A boy journeys to the land of the dead to discover his family's story."
Finding Nemo,Animation Adventure,"A clownfish searches the ocean for his lost son."
The Conjuring,Horror Thriller,"Investigators confront a dark supernatural presence."
Annabelle,Horror Mystery,"A possessed doll brings terror into a family's life."